node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario;exclude_scenario
Pr_I_PL15_51;Prot. Int. PL15 51;malles;24,729;56,212;signal_mainline;0;0;0;576,74;10,91581;46,625491;base;
PL15;PL15;;24,752;56,235;PL;0;0;0;576,92;10,915628;46,625458;base;
Pr_I_PL15_52;Prot. Int. PL15 52;merano;24,775;56,258;signal_mainline;0;0;0;577,1;10,91518;46,625392;base;
Pr_E_PL15_02;Prot. Est. PL15 02;merano;24,879;56,362;signal_mainline;0;0;0;577,92;10,913812;46,625285;base;
km57000;km57000;;25,517;57;km;0;0;0;582,94;10,90597;46,626908;base;
Pr_E_CAB_01;Prot. Est. Castelbello 01;malles;25,869;57,352;signal_mainline;0;0;0;585,71;10,901557;46,627431;base;
Pr_I_CAB_71;Prot. Int. N2 Castelbello 71;malles;25,968;57,451;signal_mainline;0;0;0;586,49;10,900589;46,627105;base;
PL16;PL16;;25,995;57,478;PL;0;0;0;586,7;10,900189;46,627009;base;
Pa_E_CAB_61;Part. Est. Castelbello 61;merano;26,019;57,502;signal_mainline;0;0;0;586,89;10,899745;46,626935;base;
Pr_I_CAB_51;Prot. Int. N1 Castelbello 51;malles;26,062;57,545;signal_mainline;0;0;0;587;10,899349;46,626933;base;
PL17;PL17;;26,087;57,57;PL;0;0;0;587;10,899022;46,626933;base;
Pa_I_CAB_31;Part. Int. Castelbello 31;merano;26,112;57,595;signal_mainline;0;0;0;587;10,898532;46,626954;base;
CAB;Castelbello;;26,133;57,616;LdS;1;0;0;587;10,898258;46,626965;base;
Pa_CAB_32;Part. Castelbello 32;malles;26,262;57,745;signal_mainline;0;0;0;587,5;10,896577;46,627031;base;
Pr_E_CAB_02;Prot. Est. Castelbello 02;merano;26,412;57,895;signal_mainline;0;0;0;590,07;10,894696;46,626689;base;
HD_405_02;HD 405/02;both;27,494;58,977;signal_mainline;0;0;0;608,66;10,882095;46,623598;base;
km60000;km60000;;28,517;60;km;0;0;0;626,23;10,869324;46,622059;base;
Pr_E_LAC_01;Prot. Est. Laces 01;malles;28,658;60,141;signal_mainline;0;0;0;628,65;10,867742;46,62141;base;
PL18;PL18;;28,782;60,265;PL;0;0;0;630,78;10,866514;46,620853;base;
Pr_I_LAC_71;Prot. Int. N2 Laces 71;malles;28,784;60,267;signal_mainline;0;0;0;630,82;10,86637;46,620783;base;
Pa_E_LAC_61;Part. Est. Laces 61;merano;28,808;60,291;signal_mainline;0;0;0;631,23;10,866101;46,620675;base;
Pr_I_LAC_51;Prot. Int. N1 Laces 51;malles;29,033;60,516;signal_mainline;0;0;0;633;10,86355;46,619786;base;
Dev_LAC_01;Deviatoio Laces 01;;29,083;60,566;SC;0;0;0;633;10,862834;46,619758;base;
Pa_I_LAC_31;Part. Int. Laces 31;merano;29,201;60,684;signal_mainline;0;0;0;633;10,861324;46,619722;base;
LAC;Laces;;29,261;60,744;LdS;1;1;0;633;10,860398;46,619711;base;
Pa_I_LAC_32;Part. Int. Laces 32;malles;29,364;60,847;signal_mainline;0;0;0;633;10,85921;46,619694;base;
Dev_LAC_02;Deviatoio Laces 02;;29,48;60,963;SC;0;0;0;633,73;10,858022;46,619681;base;
Pr_I_LAC_52;Prot. Int. N1 Laces 52;merano;29,53;61,013;signal_mainline;0;0;0;634,26;10,857024;46,619655;base;
Pa_E_LAC_62;Part. Est. Laces 62;malles;30,01;61,493;signal_mainline;0;0;0;639,32;10,851035;46,61925;base;
PL19;PL19;;30,031;61,514;PL;0;0;0;639,54;10,850716;46,619222;base;
Pr_I_LAC_72;Prot. Int. N2 Laces 72;merano;30,055;61,538;signal_mainline;0;0;0;639,8;10,850217;46,61918;base;
Pr_E_LAC_02;Prot. Est. Laces 02;merano;30,16;61,643;signal_mainline;0;0;0;640,9;10,848846;46,619071;base;
SblLac31026;SblLac31026;;31,026;62,509;signal_mainline;0;0;0;650,04;10,838237;46,616837;base;
HD_501_02;HD 501/02;both;31,16;62,643;signal_mainline;0;0;0;651,46;10,836564;46,617231;base;
Pr_E_COLD_01;Prot. Est. Coldrano 01;malles;32,014;63,497;signal_mainline;0;0;0;660,47;10,826062;46,619386;base;
Pr_I_COLD_91;Prot. Int. Coldrano 91;malles;32,084;63,567;signal_mainline;0;0;0;661,21;10,825219;46,619399;base;
PL20;PL20;;32,11;63,593;PL;0;0;0;661,48;10,824996;46,619392;base;
Pa_COLD_31;Part. Coldrano 31;merano;32,136;63,619;signal_mainline;0;0;0;661,75;10,824425;46,619384;base;
Dev_COLD_01;Deviatoio Coldrano 01;;32,2;63,683;SC;0;0;0;662,12;10,823615;46,619349;base;
COLD;Coldrano;;32,353;63,836;LdS;1;0;0;663;10,821512;46,619022;base;
Pa_I_COLD_71;Part. Int. Coldrano 71;malles;32,873;64,356;signal_mainline;0;0;0;669,91;10,815595;46,617935;base;
PL21;PL21;;32,901;64,384;PL;0;0;0;670,37;10,81508;46,617636;base;
Pr_I_COLD_52;Prot. Int. N1 Coldrano 52;merano;32,931;64,414;signal_mainline;0;0;0;670,87;10,814622;46,617382;base;
Pa_E_COLD_51;Part. Est. Coldrano 51;malles;33,256;64,739;signal_mainline;0;0;0;676,23;10,810601;46,616894;base;
PL22;PL22;;33,279;64,762;PL;0;0;0;676,61;10,810356;46,61689;base;
Pr_I_COLD_72;Prot. Int. N2 Coldrano 72;merano;33,302;64,785;signal_mainline;0;0;0;676,98;10,809946;46,616891;base;
Pr_E_COLD_02;Prot. Est. Coldrano 02;merano;33,406;64,889;signal_mainline;0;0;0;678,7;10,808589;46,616856;base;
Pr_E_PL23_01;Prot. Est. PL23 01;malles;34,356;65,839;signal_mainline;0;0;0;694,37;10,796356;46,615469;base;
Pr_I_PL23_51;Prot. Int. PL23 51;malles;34,459;65,942;signal_mainline;0;0;0;696,06;10,795591;46,615403;base;
PL23;PL23;;34,483;65,966;PL;0;0;0;696,46;10,794936;46,615337;base;
Pr_I_PL23_52;Prot. Int. PL23 52;merano;34,507;65,99;signal_mainline;0;0;0;696,86;10,794406;46,615267;base;
Pr_E_PL23_02;Prot. Est. PL23 02;merano;34,609;66,092;signal_mainline;0;0;0;698,54;10,793089;46,61513;base;
SblLac35026;SblLac35026;;35,026;66,509;Sbl;0;0;0;705,42;10,787847;46,614758;base;
Pr_E_PL24_01;Prot. Est. PL24 01;malles;35,04;66,523;signal_mainline;0;0;0;705,65;10,787522;46,614792;base;
Dev_PL24_01;Deviatoio PL24 01;;35,094;66,577;SC;0;0;0;706,54;10,786909;46,614902;base;
Pr_I_PL24_51;Prot. Int. PL24 51;malles;35,144;66,627;signal_mainline;0;0;0;707,36;10,786436;46,614991;base;
PL24;PL24;;35,167;66,65;PL;0;0;0;707,74;10,786136;46,615046;base;
Pr_I_PL24_52;Prot. Int. PL24 52;merano;35,191;66,674;signal_mainline;0;0;0;708,14;10,785629;46,615167;base;
Pr_E_PL24_02;Prot. Est. PL24 02;merano;35,294;66,777;signal_mainline;0;0;0;709,83;10,784369;46,615488;base;
HD_504_02;HD 504/02;both;36,294;67,777;signal_mainline;0;0;0;726,33;10,771772;46,617283;base;
Pr_E_SIL_01;Prot. Est. Silandro 01;malles;36,827;68,31;signal_mainline;0;0;0;735,12;10,76606;46,619751;base;
PL25;PL25;;36,943;68,426;PL;0;0;0;737,03;10,764575;46,619951;base;
Pr_I_SIL_91;Prot. Int. N2 Silandro 91;malles;36,957;68,44;signal_mainline;0;0;0;737,26;10,764406;46,619998;base;
