"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-02";"19-I";"103";"2019-01-02 06:38:00";"2019-01-02 07:54:00";"Meran/o";"";"";"";"Malles - Mals";"2";"Programmazione orario";"+3 SIL (d)=202";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"202";"2019-01-02 07:03:00";"2019-01-02 08:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+3 SIL (x)103 (vedi 103)";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"105";"2019-01-02 07:16:00";"2019-01-02 08:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+3 SEN (x)202 (in relazione 103)";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"106";"2019-01-02 07:20:00";"2019-01-02 08:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+2 LAC (x)105 (vedi103)";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"201";"2019-01-02 07:46:00";"2019-01-02 08:55:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+2 SEN (x)106 (vedi103)";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"107";"2019-01-02 08:16:00";"2019-01-02 09:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"108";"2019-01-02 08:20:00";"2019-01-02 09:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+1 LASA (x)201 (vedi103)";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"206";"2019-01-02 09:03:00";"2019-01-02 10:13:00";"Malles - Mals";"";"";"";"Meran/o";"2";"Coincidenze programmate";"+3 TEL (x)205; (vedi 205)";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"109";"2019-01-02 09:16:00";"2019-01-02 10:38:00";"Meran/o";"3";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"110";"2019-01-02 09:20:00";"2019-01-02 10:43:00";"Malles - Mals";"";"";"";"Meran/o";"2";"Coincidenze programmate";"+2 TEL (x)111; (vedi 111)";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"205";"2019-01-02 09:46:00";"2019-01-02 10:55:00";"Meran/o";"3";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"111";"2019-01-02 10:16:00";"2019-01-02 11:38:00";"Meran/o";"5";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"112";"2019-01-02 10:20:00";"2019-01-02 11:43:00";"Malles - Mals";"";"";"";"Meran/o";"3";"Coincidenze programmate";"+3 TEL (x)113; (vedi 113)";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"210";"2019-01-02 11:03:00";"2019-01-02 12:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"Coincidenze programmate";"+2 TEL (x)209; (vedi 209)";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"113";"2019-01-02 11:16:00";"2019-01-02 12:38:00";"Meran/o";"5";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
